x,y,latitude,transparen,longitude,fid,station_vi,visit_date,color_id
24.2433,57.88,57.880000000000003,2.000000000000000,24.243300000000001,5231,212223.0,2012/05/17 19:15:00.000,21.0
24.3367,57.5933,57.593299999999999,2.000000000000000,24.336700000000000,5232,212225.0,2012/05/18 07:00:00.000,21.0
24.2976,57.5922,57.592199999999998,2.000000000000000,24.297599999999999,5233,212226.0,2012/05/18 07:45:00.000,21.0
24.3533,57.4483,57.448300000000003,2.200000000000000,24.353300000000001,5234,212227.0,2012/05/18 10:00:00.000,21.0
24.3733,57.315,57.314999999999998,2.000000000000000,24.373300000000000,5235,212228.0,2012/05/18 11:55:00.000,21.0
24.2867,57.3133,57.313299999999998,1.500000000000000,24.286700000000000,5236,212229.0,2012/05/18 13:00:00.000,21.0
24.0833,57.35,57.350000000000001,2.200000000000000,24.083300000000001,5237,212230.0,2012/05/18 14:50:00.000,19.0
23.7667,57.4167,57.416699999999999,1.500000000000000,23.766700000000000,5238,212231.0,2012/05/18 17:30:00.000,19.0
23.85,57.3,57.299999999999997,2.000000000000000,23.850000000000001,5239,212232.0,2012/05/18 20:30:00.000,19.0
24.25,57.1683,57.168300000000002,1.300000000000000,24.250000000000000,5240,212233.0,2012/05/19 07:00:00.000,21.0
24.2167,57.1833,57.183300000000003,1.100000000000000,24.216699999999999,5241,212234.0,2012/05/19 08:00:00.000,21.0
23.9333,57.1667,57.166699999999999,2.100000000000000,23.933299999999999,5242,212235.0,2012/05/19 10:00:00.000,19.0
23.9565,57.1243,57.124299999999998,1.500000000000000,23.956499999999998,5243,212236.0,2012/05/19 10:50:00.000,21.0
23.9833,57.1,57.100000000000001,1.000000000000000,23.983300000000000,5244,212237.0,2012/05/19 11:50:00.000,21.0
23.6667,57.1667,57.166699999999999,1.800000000000000,23.666699999999999,5245,212238.0,2012/05/19 14:25:00.000,13.0
22.3418,57.7957,57.795699999999997,3.600000000000000,22.341799999999999,5246,212246.0,2012/06/08 18:40:00.000,19.0
23.4833,57.4,57.399999999999999,3.000000000000000,23.483300000000000,5247,212248.0,2012/06/09 08:40:00.000,19.0
23.6167,57.6167,57.616700000000002,3.300000000000000,23.616700000000002,5248,212249.0,2012/06/09 12:05:00.000,19.0
24.0726,57.6178,57.617800000000003,2.900000000000000,24.072600000000001,5249,212250.0,2012/06/09 16:20:00.000,21.0
24.0833,57.35,57.350000000000001,3.200000000000000,24.083300000000001,5250,212251.0,2012/06/09 08:25:00.000,19.0
23.85,57.3,57.299999999999997,3.900000000000000,23.850000000000001,5251,212252.0,2012/06/10 12:40:00.000,21.0
23.7667,57.4167,57.416699999999999,2.500000000000000,23.766700000000000,5252,212253.0,2012/06/10 15:05:00.000,21.0
22.8237,57.8132,57.813200000000002,4.500000000000000,22.823699999999999,5253,212264.0,2012/06/29 12:20:00.000,9.0
23.7667,57.4167,57.416699999999999,4.000000000000000,23.766700000000000,5254,212267.0,2012/07/18 08:30:00.000,9.0
23.85,57.3,57.299999999999997,3.500000000000000,23.850000000000001,5255,212268.0,2012/07/18 10:40:00.000,19.0
24.2167,57.1833,57.183300000000003,2.700000000000000,24.216699999999999,5256,212269.0,2012/07/18 13:50:00.000,17.0
22.8833,57.7976,57.797600000000003,2.800000000000000,22.883299999999998,5257,212272.0,2012/08/07 08:25:00.000,19.0
22.9833,57.5667,57.566699999999997,2.100000000000000,22.983300000000000,5258,212273.0,2012/08/07 10:50:00.000,19.0
23.6167,57.6167,57.616700000000002,3.400000000000000,23.616700000000002,5259,212274.0,2012/08/07 13:50:00.000,17.0
23.7667,57.4167,57.416699999999999,2.900000000000000,23.766700000000000,5260,212275.0,2012/08/07 17:55:00.000,17.0
23.85,57.3,57.299999999999997,2.800000000000000,23.850000000000001,5261,212276.0,2012/08/07 19:45:00.000,17.0
23.2373,57.3589,57.358899999999998,3.000000000000000,23.237300000000001,5262,212277.0,2012/08/08 13:35:00.000,15.0
23.3326,57.2196,57.219600000000000,3.100000000000000,23.332599999999999,5263,212278.0,2012/08/08 15:25:00.000,19.0
24.0833,57.35,57.350000000000001,3.400000000000000,24.083300000000001,5264,212279.0,2012/08/08 19:10:00.000,13.0
24.2867,57.3133,57.313299999999998,3.000000000000000,24.286700000000000,5265,212280.0,2012/08/08 20:55:00.000,15.0
24.2976,57.5922,57.592199999999998,2.600000000000000,24.297599999999999,5266,212284.0,2012/08/09 07:55:00.000,19.0
23.9167,57.85,57.850000000000001,3.200000000000000,23.916699999999999,5267,212285.0,2012/08/09 12:30:00.000,11.0
24.305,58.2184,58.218400000000003,2.600000000000000,24.305000000000000,5268,212286.0,2012/08/09 14:35:00.000,19.0
23.9515,58.0667,58.066699999999997,1.000000000000000,23.951499999999999,5269,212287.0,2012/08/09 17:00:00.000,21.0
24.4255,58.3385,58.338500000000003,0.500000000000000,24.425500000000000,5270,212288.0,2012/08/09 19:10:00.000,21.0
24.340166,57.7851,57.785100000000000,1.900000000000000,24.340166000000000,5271,212289.0,2012/08/16 08:20:00.000,19.0
24.333533,57.7849,57.784900000000000,1.900000000000000,24.333532999999999,5272,212290.0,2012/08/16 08:30:00.000,17.0
24.3255,57.784483,57.784483000000002,1.900000000000000,24.325500000000002,5273,212291.0,2012/08/16 08:35:00.000,15.0
24.316216,57.783799,57.783799000000002,1.900000000000000,24.316216000000001,5274,212292.0,2012/08/16 08:45:00.000,15.0
24.307366,57.78195,57.781950000000002,2.000000000000000,24.307365999999998,5275,212293.0,2012/08/16 08:50:00.000,15.0
24.300533,57.779666,57.779665999999999,2.000000000000000,24.300533000000001,5276,212294.0,2012/08/16 09:00:00.000,15.0
24.290783,57.777133,57.777132999999999,1.900000000000000,24.290783000000001,5277,212295.0,2012/08/16 09:10:00.000,15.0
24.280716,57.7749,57.774900000000002,1.900000000000000,24.280716000000002,5278,212296.0,2012/08/16 09:15:00.000,15.0
24.267666,57.7822,57.782200000000003,1.800000000000000,24.267665999999998,5279,212297.0,2012/08/16 09:30:00.000,19.0
24.2787,57.786749,57.786749000000000,1.900000000000000,24.278700000000001,5280,212298.0,2012/08/16 09:40:00.000,17.0
24.286416,57.788966,57.788966000000002,1.800000000000000,24.286415999999999,5281,212299.0,2012/08/16 09:50:00.000,19.0
